"","YEAR","PID","CLASS_TYPE","AREA","FRAC","PROX","ENN","CLASS_NAME"
"103",2023,1065,"cls_3",0.3062,1.0358,92.8206,71.4424,"Pasture"
"104",2023,1066,"cls_3",0.1021,1,15766.8611,63.9,"Pasture"
"105",2023,1068,"cls_3",0.1021,1,573.6719,142.8847,"Pasture"
"106",2023,1073,"cls_3",0.1021,1,3274.9098,101.0348,"Pasture"
"107",2023,1075,"cls_3",0.1021,1,1586.9126,63.9,"Pasture"
"108",2023,1077,"cls_3",0.7146,1.0932,2655.5614,71.4424,"Pasture"
"109",2023,1079,"cls_3",4491.1227,1.2695,98022.0554,63.9,"Pasture"
"110",2023,1083,"cls_3",0.2042,1.0155,1934.6363,115.1974,"Pasture"
"111",2023,1087,"cls_3",0.1021,1,3315.7083,63.9,"Pasture"
"112",2023,1089,"cls_3",0.1021,1,11645.9495,63.9,"Pasture"
"113",2023,1095,"cls_3",0.4083,1.1346,190.1192,214.3271,"Pasture"
"114",2023,1104,"cls_3",1.225,1.1167,1935.3442,115.1974,"Pasture"
"115",2023,1106,"cls_3",0.1021,1,1683.5893,90.3682,"Pasture"
"116",2023,1115,"cls_3",3.5728,1.1643,1268.8785,71.4424,"Pasture"
"117",2023,1120,"cls_3",1.1229,1.0654,17966.9909,71.4424,"Pasture"
"118",2023,1129,"cls_3",0.3062,1.0914,4863.3634,63.9,"Pasture"
"119",2023,1154,"cls_3",2.6541,1.0622,15610.8629,142.8847,"Pasture"
"120",2023,1157,"cls_3",3.2666,1.041,22694.4057,63.9,"Pasture"
"121",2023,1159,"cls_3",0.4083,1,474.2712,172.056,"Pasture"
"122",2023,1165,"cls_3",0.1021,1,452.9456,172.056,"Pasture"
"123",2023,1166,"cls_3",0.9187,1.112,9988.7311,95.85,"Pasture"
"124",2023,1167,"cls_3",15.8224,1.1025,84910.4922,63.9,"Pasture"
"125",2023,1172,"cls_3",0.1021,1,95942.3383,63.9,"Pasture"
"126",2023,1191,"cls_3",0.4083,1.0537,12392.0697,63.9,"Pasture"
"127",2023,1193,"cls_3",0.3062,1.0358,22438.7102,63.9,"Pasture"
"128",2023,1205,"cls_3",0.2042,1.0155,62388.3831,71.4424,"Pasture"
"129",2023,1221,"cls_3",0.7146,1.0631,5738.044,63.9,"Pasture"
"130",2023,1238,"cls_3",0.2042,1.0155,5688.9469,63.9,"Pasture"
"131",2023,1242,"cls_3",9.1872,1.0617,62391.085,71.4424,"Pasture"
"132",2023,1276,"cls_3",0.1021,1,22482.1108,63.9,"Pasture"
"133",2023,1281,"cls_3",2.552,1.0926,22441.2858,63.9,"Pasture"
